        Frequency / GHz                S1,1/abs,dB
----------------------------------------------------------------------
                       2                      -8.3280368
                   2.007                      -8.2930287
               2.0139999                      -8.2576003
               2.0209999                      -8.2218928
               2.0280001                      -8.1860508
               2.0350001                        -8.15022
               2.0420001                      -8.1145481
                   2.049                      -8.0791817
                   2.056                      -8.0442627
                   2.063                      -8.0099275
               2.0699999                      -7.9763089
               2.0769999                      -7.9435273
               2.0840001                      -7.9116995
               2.0910001                      -7.8809298
                   2.098                      -7.8513134
                   2.105                      -7.8229374
                   2.112                      -7.7958772
                   2.119                      -7.7701977
               2.1259999                      -7.7459586
               2.1329999                      -7.7232077
               2.1400001                      -7.7019849
               2.1470001                      -7.6823226
                   2.154                      -7.6642441
                   2.161                      -7.6477682
                   2.168                      -7.6329065
                   2.175                      -7.6196619
               2.1819999                      -7.6080347
               2.1889999                      -7.5980131
               2.1960001                      -7.5895871
               2.2030001                      -7.5827352
                    2.21                      -7.5774308
                   2.217                      -7.5736413
                   2.224                      -7.5713291
               2.2309999                      -7.5704493
               2.2379999                      -7.5709496
               2.2449999                       -7.572776
               2.2520001                      -7.5758631
               2.2590001                      -7.5801485
                   2.266                      -7.5855577
                   2.273                      -7.5920196
                    2.28                      -7.5994585
               2.2869999                      -7.6077962
               2.2939999                      -7.6169608
               2.3010001                      -7.6268796
               2.3080001                      -7.6374851
               2.3150001                      -7.6487158
                   2.322                      -7.6605202
                   2.329                      -7.6728554
                   2.336                        -7.68569
               2.3429999                      -7.6990055
               2.3499999                      -7.7127986
               2.3570001                      -7.7270793
               2.3640001                      -7.7418734
               2.3710001                      -7.7572226
                   2.378                      -7.7731837
                   2.385                      -7.7898235
                   2.392                      -7.8072278
               2.3989999                      -7.8254897
               2.4059999                      -7.8447094
               2.4130001                      -7.8649974
               2.4200001                      -7.8864651
                   2.427                      -7.9092254
                   2.434                      -7.9333924
                   2.441                      -7.9590702
                   2.448                      -7.9863578
               2.4549999                      -8.0153434
               2.4619999                      -8.0460998
               2.4690001                      -8.0786865
               2.4760001                      -8.1131412
                   2.483                       -8.149483
                    2.49                      -8.1877074
                   2.497                      -8.2277863
               2.5039999                      -8.2696675
               2.5109999                      -8.3132732
               2.5179999                       -8.358502
               2.5250001                      -8.4052229
               2.5320001                      -8.4532884
                   2.539                      -8.5025229
                   2.546                      -8.5527323
                   2.553                      -8.6037016
               2.5599999                      -8.6552033
               2.5669999                      -8.7069952
               2.5739999                      -8.7588288
               2.5810001                      -8.8104494
               2.5880001                      -8.8616006
                   2.595                      -8.9120335
                   2.602                      -8.9615043
                   2.609                      -9.0097863
               2.6159999                      -9.0566672
               2.6229999                       -9.101958
               2.6300001                      -9.1454968
               2.6370001                      -9.1871527
               2.6440001                       -9.226818
                   2.651                      -9.2644306
                   2.658                      -9.2999558
                   2.665                      -9.3333959
               2.6719999                      -9.3647851
               2.6789999                      -9.3941931
               2.6860001                      -9.4217201
               2.6930001                      -9.4474889
                     2.7                      -9.4716448
                   2.707                      -9.4943525
                   2.714                      -9.5157876
                   2.721                       -9.536132
               2.7279999                      -9.5555686
               2.7349999                       -9.574273
               2.7420001                      -9.5924134
               2.7490001                      -9.6101414
                   2.756                      -9.6275889
                   2.763                      -9.6448641
                    2.77                      -9.6620475
                   2.777                      -9.6791925
               2.7839999                      -9.6963218
               2.7909999                       -9.713428
               2.7980001                      -9.7304757
               2.8050001                      -9.7474021
                   2.812                      -9.7641224
                   2.819                      -9.7805315
                   2.826                       -9.796511
               2.8329999                      -9.8119358
               2.8399999                      -9.8266786
               2.8469999                      -9.8406183
               2.8540001                      -9.8536473
               2.8610001                      -9.8656774
                   2.868                      -9.8766438
                   2.875                      -9.8865149
                   2.882                       -9.895293
               2.8889999                      -9.9030166
               2.8959999                      -9.9097622
               2.9030001                      -9.9156448
               2.9100001                      -9.9208092
               2.9170001                       -9.925432
                   2.924                      -9.9297116
                   2.931                      -9.9338625
                   2.938                       -9.938099
               2.9449999                      -9.9426389
               2.9519999                      -9.9476799
               2.9590001                      -9.9533969
               2.9660001                      -9.9599301
                   2.973                      -9.9673753
                    2.98                       -9.975774
                   2.987                      -9.9851138
                   2.994                      -9.9953148
               3.0009999                      -10.006233
               3.0079999                      -10.017661
               3.0150001                      -10.029328
               3.0220001                      -10.040908
                   3.029                       -10.05203
                   3.036                      -10.062289
                   3.043                      -10.071266
                    3.05                      -10.078544
               3.0569999                      -10.083724
               3.0639999                       -10.08646
               3.0710001                      -10.086467
               3.0780001                       -10.08355
                   3.085                       -10.07763
                   3.092                      -10.068744
                   3.099                      -10.057072
               3.1059999                      -10.042937
               3.1129999                       -10.02681
               3.1199999                      -10.009301
               3.1270001                      -9.9911598
               3.1340001                      -9.9732525
                   3.141                      -9.9565517
                   3.148                      -9.9421164
                   3.155                      -9.9310702
               3.1619999                      -9.9245826
               3.1689999                      -9.9238523
               3.1760001                      -9.9300864
               3.1830001                       -9.944486
               3.1900001                      -9.9682372
                   3.197                      -10.002494
                   3.204                      -10.048379
                   3.211                      -10.106971
               3.2179999                      -10.179306
               3.2249999                      -10.266374
               3.2320001                      -10.369116
               3.2390001                      -10.488436
               3.2460001                      -10.625183
                   3.253                       -10.78017
                    3.26                      -10.954169
                   3.267                      -11.147911
               3.2739999                      -11.362086
               3.2809999                      -11.597349
               3.2880001                      -11.854307
               3.2950001                      -12.133526
                   3.302                      -12.435514
                   3.309                      -12.760718
                   3.316                       -13.10951
                   3.323                      -13.482159
               3.3299999                      -13.878812
               3.3369999                      -14.299454
               3.3440001                      -14.743863
               3.3510001                      -15.211551
                   3.358                      -15.701681
                   3.365                      -16.212971
                   3.372                      -16.743583
               3.3789999                      -17.290968
               3.3859999                      -17.851708
               3.3929999                      -18.421336
               3.4000001                      -18.994163
               3.4070001                      -19.563144
                   3.414                      -20.119824
                   3.421                      -20.654447
                   3.428                       -21.15627
               3.4349999                       -21.61417
               3.4419999                      -22.017501
               3.4489999                      -22.357103
               3.4560001                      -22.626288
               3.4630001                      -22.821514
                    3.47                      -22.942575
                   3.477                      -22.992255
                   3.484                       -22.97559
               3.4909999                      -22.898927
               3.4979999                      -22.769097
               3.5050001                      -22.592776
               3.5120001                       -22.37614
               3.5190001                      -22.124751
                   3.526                      -21.843593
                   3.533                      -21.537198
                    3.54                      -21.209771
               3.5469999                       -20.86529
               3.5539999                      -20.507562
               3.5610001                      -20.140233
               3.5680001                      -19.766763
                   3.575                      -19.390384
                   3.582                       -19.01406
                   3.589                      -18.640446
                   3.596                      -18.271855
               3.6029999                      -17.910255
               3.6099999                       -17.55726
               3.6170001                      -17.214145
               3.6240001                      -16.881874
                   3.631                      -16.561113
                   3.638                      -16.252265
                   3.645                      -15.955505
                   3.652                      -15.670805
               3.6589999                      -15.397967
               3.6659999                      -15.136652
               3.6730001                      -14.886407
               3.6800001                      -14.646691
                   3.687                        -14.4169
                   3.694                      -14.196391
                   3.701                      -13.984501
               3.7079999                      -13.780569
               3.7149999                      -13.583951
               3.7219999                      -13.394041
               3.7290001                      -13.210279
               3.7360001                      -13.032166
                   3.743                      -12.859273
                    3.75                       -12.69124
                   3.757                      -12.527789
               3.7639999                      -12.368718
               3.7709999                      -12.213899
               3.7780001                      -12.063271
               3.7850001                       -11.91684
               3.7920001                      -11.774663
                   3.799                       -11.63684
                   3.806                      -11.503507
                   3.813                       -11.37482
               3.8199999                       -11.25095
               3.8269999                      -11.132067
               3.8340001                      -11.018338
               3.8410001                      -10.909913
                   3.848                      -10.806924
                   3.855                      -10.709473
                   3.862                      -10.617638
                   3.869                      -10.531459
               3.8759999                      -10.450947
               3.8829999                      -10.376078
               3.8900001                        -10.3068
               3.8970001                      -10.243026
                   3.904                       -10.18465
                   3.911                      -10.131541
                   3.918                      -10.083551
                   3.925                      -10.040521
               3.9319999                      -10.002286
               3.9389999                      -9.9686821
               3.9460001                      -9.9395441
               3.9530001                      -9.9147271
                    3.96                      -9.8940889
                   3.967                      -9.8775158
                   3.974                      -9.8649157
               3.9809999                      -9.8562183
               3.9879999                      -9.8513855
               3.9949999                      -9.8504058
               4.0019999                      -9.8532964
               4.0089998                      -9.8601046
               4.0159998                      -9.8709072
               4.0229998                      -9.8857996
               4.0300002                      -9.9049036
               4.0370002                      -9.9283608
               4.0440001                      -9.9563253
               4.0510001                      -9.9889685
               4.0580001                      -10.026463
               4.0650001                      -10.068991
                   4.072                      -10.116736
                   4.079                       -10.16988
                   4.086                      -10.228597
               4.0929999                      -10.293066
               4.0999999                       -10.36345
               4.1069999                      -10.439913
               4.1139998                      -10.522606
               4.1209998                      -10.611684
               4.1279998                      -10.707289
               4.1350002                       -10.80957
               4.1420002                      -10.918674
               4.1490002                      -11.034752
               4.1560001                       -11.15797
               4.1630001                      -11.288505
               4.1700001                      -11.426551
                   4.177                      -11.572327
                   4.184                      -11.726081
                   4.191                      -11.888095
                   4.198                      -12.058691
               4.2049999                      -12.238231
               4.2119999                      -12.427131
               4.2189999                      -12.625862
               4.2259998                      -12.834951
               4.2329998                      -13.054992
               4.2399998                      -13.286651
               4.2470002                      -13.530667
               4.2540002                      -13.787863
               4.2610002                      -14.059155
               4.2680001                      -14.345552
               4.2750001                      -14.648174
               4.2820001                       -14.96826
                   4.289                      -15.307186
                   4.296                       -15.66648
                   4.303                      -16.047848
               4.3099999                      -16.453199
               4.3169999                      -16.884683
               4.3239999                      -17.344741
               4.3309999                      -17.836148
               4.3379998                        -18.3621
               4.3449998                       -18.92629
               4.3520002                      -19.533029
               4.3590002                      -20.187376
               4.3660002                      -20.895308
               4.3730001                      -21.663905
               4.3800001                      -22.501554
               4.3870001                      -23.418069
               4.3940001                      -24.424596
                   4.401                      -25.532799
                   4.408                      -26.752171
                   4.415                      -28.082541
               4.4219999                      -29.494991
               4.4289999                      -30.889534
               4.4359999                      -32.030925
               4.4429998                      -32.558102
               4.4499998                      -32.247206
               4.4569998                      -31.273706
               4.4640002                       -30.00094
               4.4710002                      -28.685427
               4.4780002                      -27.441229
               4.4850001                      -26.303245
               4.4920001                      -25.273529
               4.4990001                      -24.342794
                   4.506                      -23.498996
                   4.513                      -22.730449
                    4.52                      -22.026808
                   4.527                      -21.379232
               4.5339999                      -20.780274
               4.5409999                      -20.223692
               4.5479999                      -19.704253
               4.5549998                      -19.217566
               4.5619998                      -18.759935
               4.5689998                      -18.328239
               4.5760002                      -17.919838
               4.5830002                      -17.532489
               4.5900002                      -17.164282
               4.5970001                       -16.81359
               4.6040001                      -16.479009
               4.6110001                       -16.15934
                   4.618                       -15.85354
                   4.625                      -15.560698
                   4.632                      -15.280014
               4.6389999                      -15.010782
               4.6459999                      -14.752365
               4.6529999                      -14.504191
               4.6599998                      -14.265729
               4.6669998                       -14.03649
               4.6739998                      -13.816014
               4.6810002                      -13.603862
               4.6880002                      -13.399621
               4.6950002                      -13.202888
               4.7020001                      -13.013273
               4.7090001                      -12.830401
               4.7160001                      -12.653906
                   4.723                      -12.483437
                    4.73                      -12.318653
                   4.737                      -12.159225
                   4.744                      -12.004844
               4.7509999                       -11.85521
               4.7579999                       -11.71005
               4.7649999                      -11.569103
               4.7719998                      -11.432136
               4.7789998                      -11.298932
               4.7859998                      -11.169301
               4.7930002                      -11.043075
               4.8000002                      -10.920108
               4.8070002                      -10.800278
               4.8140001                      -10.683485
               4.8210001                       -10.56965
               4.8280001                       -10.45871
                   4.835                       -10.35062
                   4.842                      -10.245349
                   4.849                      -10.142878
               4.8559999                      -10.043195
               4.8629999                      -9.9462944
               4.8699999                      -9.8521785
               4.8769999                      -9.7608437
               4.8839998                      -9.6722889
               4.8909998                      -9.5865089
               4.8979998                       -9.503491
               4.9050002                      -9.4232185
               4.9120002                      -9.3456656
               4.9190001                      -9.2707985
               4.9260001                      -9.1985735
               4.9330001                      -9.1289394
               4.9400001                      -9.0618367
                   4.947                      -8.9971987
                   4.954                      -8.9349532
                   4.961                      -8.8750235
               4.9679999                      -8.8173297
               4.9749999                      -8.7617932
               4.9819999                      -8.7083323
               4.9889998                      -8.6568753
               4.9959998                      -8.6073499
               5.0029998                      -8.5596936
               5.0100002                      -8.5138533
               5.0170002                      -8.4697864
               5.0240002                      -8.4274588
               5.0310001                      -8.3868517
               5.0380001                        -8.34796
               5.0450001                      -8.3107894
                   5.052                      -8.2753593
                   5.059                      -8.2416995
                   5.066                      -8.2098535
                   5.073                      -8.1798738
               5.0799999                      -8.1518202
               5.0869999                      -8.1257584
               5.0939999                      -8.1017593
               5.1009998                      -8.0798978
               5.1079998                      -8.0602465
               5.1149998                       -8.042878
               5.1220002                      -8.0278614
               5.1290002                      -8.0152583
               5.1360002                      -8.0051264
               5.1430001                      -7.9975157
               5.1500001                      -7.9924648
               5.1570001                      -7.9900038
                   5.164                      -7.9901568
                   5.171                       -7.992932
                   5.178                      -7.9983323
               5.1849999                      -8.0063538
               5.1919999                      -8.0169808
               5.1989999                      -8.0301974
               5.2059999                       -8.045979
               5.2129998                      -8.0643002
               5.2199998                      -8.0851373
               5.2270002                      -8.1084645
               5.2340002                      -8.1342667
               5.2410002                      -8.1625269
               5.2480001                       -8.193241
               5.2550001                      -8.2264157
               5.2620001                      -8.2620657
               5.2690001                      -8.3002213
                   5.276                      -8.3409261
                   5.283                      -8.3842386
                    5.29                      -8.4302308
               5.2969999                      -8.4789917
               5.3039999                      -8.5306239
               5.3109999                      -8.5852437
               5.3179998                        -8.64298
               5.3249998                      -8.7039721
               5.3319998                       -8.768369
               5.3390002                      -8.8363297
               5.3460002                      -8.9080152
               5.3530002                      -8.9835944
               5.3600001                      -9.0632333
               5.3670001                      -9.1471034
               5.3740001                      -9.2353683
                   5.381                       -9.328195
                   5.388                      -9.4257395
                   5.395                       -9.528157
                   5.402                      -9.6355937
               5.4089999                      -9.7481909
               5.4159999                      -9.8660835
