        Frequency / GHz                voltage1 [1]/abs,dB
----------------------------------------------------------------------
                       2                      -221.20455
                   2.007                      -221.18279
                   2.014                      -221.17013
                   2.021                      -221.16699
                   2.028                      -221.17371
                   2.035                      -221.19054
                   2.042                       -221.2176
                   2.049                      -221.25494
                   2.056                      -221.30249
                   2.063                      -221.36006
                    2.07                      -221.42733
                   2.077                      -221.50389
                   2.084                      -221.58914
                   2.091                      -221.68238
                   2.098                      -221.78274
                   2.105                      -221.88919
                   2.112                      -222.00057
                   2.119                      -222.11554
                   2.126                      -222.23262
                   2.133                      -222.35019
                    2.14                      -222.46654
                   2.147                      -222.57985
                   2.154                      -222.68829
                   2.161                      -222.79003
                   2.168                      -222.88335
                   2.175                      -222.96662
                   2.182                      -223.03849
                   2.189                      -223.09785
                   2.196                      -223.14395
                   2.203                       -223.1764
                    2.21                      -223.19521
                   2.217                      -223.20081
                   2.224                      -223.19399
                   2.231                      -223.17586
                   2.238                      -223.14782
                   2.245                      -223.11149
                   2.252                      -223.06862
                   2.259                      -223.02103
                   2.266                      -222.97056
                   2.273                      -222.91901
                    2.28                       -222.8681
                   2.287                      -222.81945
                   2.294                      -222.77454
                   2.301                       -222.7347
                   2.308                      -222.70111
                   2.315                       -222.6748
                   2.322                      -222.65664
                   2.329                      -222.64738
                   2.336                       -222.6476
                   2.343                      -222.65776
                    2.35                      -222.67819
                   2.357                      -222.70909
                   2.364                      -222.75056
                   2.371                      -222.80256
                   2.378                      -222.86496
                   2.385                       -222.9375
                   2.392                      -223.01981
                   2.399                      -223.11142
                   2.406                      -223.21172
                   2.413                      -223.32002
                    2.42                      -223.43548
                   2.427                      -223.55716
                   2.434                        -223.684
                   2.441                      -223.81487
                   2.448                       -223.9485
                   2.455                      -224.08358
                   2.462                      -224.21874
                   2.469                      -224.35257
                   2.476                       -224.4837
                   2.483                      -224.61079
                    2.49                      -224.73259
                   2.497                      -224.84803
                   2.504                      -224.95619
                   2.511                      -225.05639
                   2.518                      -225.14821
                   2.525                      -225.23153
                   2.532                      -225.30651
                   2.539                      -225.37361
                   2.546                      -225.43356
                   2.553                      -225.48735
                    2.56                      -225.53618
                   2.567                      -225.58144
                   2.574                      -225.62461
                   2.581                      -225.66729
                   2.588                      -225.71112
                   2.595                      -225.75774
                   2.602                      -225.80877
                   2.609                       -225.8658
                   2.616                      -225.93035
                   2.623                      -226.00389
                    2.63                      -226.08779
                   2.637                      -226.18337
                   2.644                      -226.29188
                   2.651                      -226.41451
                   2.658                      -226.55239
                   2.665                      -226.70661
                   2.672                      -226.87823
                   2.679                      -227.06828
                   2.686                      -227.27782
                   2.693                      -227.50787
                     2.7                      -227.75951
                   2.707                      -228.03384
                   2.714                      -228.33202
                   2.721                      -228.65526
                   2.728                      -229.00488
                   2.735                      -229.38228
                   2.742                      -229.78897
                   2.749                      -230.22662
                   2.756                        -230.697
                   2.763                      -231.20207
                    2.77                      -231.74388
                   2.777                      -232.32464
                   2.784                      -232.94658
                   2.791                      -233.61187
                   2.798                      -234.32237
                   2.805                      -235.07924
                   2.812                      -235.88224
                   2.819                      -236.72854
                   2.826                      -237.61083
                   2.833                       -238.5144
                    2.84                      -239.41316
                   2.847                      -240.26538
                   2.854                      -241.01223
                   2.861                      -241.58451
                   2.868                      -241.92228
                   2.875                      -242.00076
                   2.882                      -241.84352
                   2.889                      -241.51036
                   2.896                      -241.07143
                   2.903                      -240.58716
                    2.91                      -240.10093
                   2.917                      -239.64036
                   2.924                      -239.22148
                   2.931                      -238.85279
                   2.938                      -238.53818
                   2.945                      -238.27886
                   2.952                      -238.07458
                   2.959                      -237.92428
                   2.966                      -237.82644
                   2.973                      -237.77928
                    2.98                      -237.78076
                   2.987                      -237.82849
                   2.994                      -237.91955
                   3.001                       -238.0502
                   3.008                      -238.21552
                   3.015                      -238.40886
