        Frequency / GHz                voltage1_1 [1]/abs,dB
----------------------------------------------------------------------
                       2                      -239.64012
                   2.007                      -239.83457
                   2.014                      -240.06694
                   2.021                      -240.34002
                   2.028                      -240.65715
                   2.035                      -241.02234
                   2.042                      -241.44047
                   2.049                       -241.9175
                   2.056                      -242.46082
                   2.063                      -243.07974
                    2.07                      -243.78608
                   2.077                      -244.59511
                   2.084                      -245.52693
                   2.091                      -246.60826
                   2.098                      -247.87486
                   2.105                      -249.37355
                   2.112                      -251.15811
                   2.119                      -253.25193
                   2.126                      -255.46073
                   2.133                      -256.83824
                    2.14                      -256.08544
                   2.147                      -253.91916
                   2.154                      -251.63155
                   2.161                      -249.62557
                   2.168                      -247.92246
                   2.175                      -246.47164
                   2.182                      -245.22237
                   2.189                       -244.1348
                   2.196                      -243.17903
                   2.203                      -242.33267
                    2.21                      -241.57875
                   2.217                      -240.90422
                   2.224                      -240.29886
                   2.231                      -239.75455
                   2.238                      -239.26476
                   2.245                      -238.82415
                   2.252                      -238.42831
                   2.259                      -238.07358
                   2.266                      -237.75686
                   2.273                      -237.47549
                    2.28                      -237.22721
                   2.287                      -237.01004
                   2.294                      -236.82224
                   2.301                      -236.66226
                   2.308                      -236.52872
                   2.315                      -236.42033
                   2.322                      -236.33589
                   2.329                      -236.27426
                   2.336                      -236.23434
                   2.343                      -236.21502
                    2.35                      -236.21517
                   2.357                      -236.23362
                   2.364                       -236.2691
                   2.371                      -236.32028
                   2.378                      -236.38566
                   2.385                      -236.46361
                   2.392                      -236.55231
                   2.399                      -236.64975
                   2.406                       -236.7537
                   2.413                      -236.86171
                    2.42                      -236.97112
                   2.427                      -237.07909
                   2.434                      -237.18267
                   2.441                      -237.27882
                   2.448                      -237.36456
                   2.455                      -237.43707
                   2.462                      -237.49382
                   2.469                      -237.53272
                   2.476                      -237.55223
                   2.483                      -237.55147
                    2.49                      -237.53026
                   2.497                      -237.48915
                   2.504                      -237.42933
                   2.511                       -237.3526
                   2.518                      -237.26122
                   2.525                      -237.15775
                   2.532                      -237.04495
                   2.539                      -236.92566
                   2.546                      -236.80265
                   2.553                      -236.67857
                    2.56                      -236.55589
                   2.567                      -236.43685
                   2.574                      -236.32346
                   2.581                      -236.21751
                   2.588                      -236.12054
                   2.595                      -236.03387
                   2.602                      -235.95866
                   2.609                      -235.89587
                   2.616                      -235.84632
                   2.623                      -235.81069
                    2.63                      -235.78958
                   2.637                      -235.78345
                   2.644                      -235.79272
                   2.651                      -235.81774
                   2.658                      -235.85881
                   2.665                      -235.91616
                   2.672                      -235.99004
                   2.679                      -236.08062
                   2.686                      -236.18811
                   2.693                      -236.31265
                     2.7                      -236.45443
