        Frequency / GHz                voltage1_1_1 [1]/abs,dB
----------------------------------------------------------------------
                       2                      -241.46357
                   2.007                      -241.37271
                   2.014                      -241.29943
                   2.021                      -241.24427
                   2.028                      -241.20778
                   2.035                      -241.19053
                   2.042                      -241.19311
                   2.049                      -241.21612
                   2.056                      -241.26022
                   2.063                       -241.3261
                    2.07                      -241.41448
                   2.077                      -241.52617
                   2.084                      -241.66199
                   2.091                      -241.82285
                   2.098                      -242.00972
                   2.105                      -242.22362
                   2.112                      -242.46564
                   2.119                      -242.73691
                   2.126                       -243.0386
                   2.133                      -243.37187
                    2.14                      -243.73782
                   2.147                      -244.13738
                   2.154                      -244.57117
                   2.161                      -245.03926
                   2.168                      -245.54081
                   2.175                      -246.07352
                   2.182                      -246.63281
                   2.189                      -247.21073
                   2.196                      -247.79451
                   2.203                      -248.36491
                    2.21                      -248.89508
                   2.217                      -249.35082
                   2.224                      -249.69405
                   2.231                       -249.8903
                   2.238                      -249.91863
                   2.245                      -249.77896
                   2.252                      -249.49216
                   2.259                       -249.0927
                   2.266                      -248.61876
                   2.273                      -248.10473
                    2.28                      -247.57766
                   2.287                      -247.05693
                   2.294                      -246.55548
                   2.301                      -246.08135
                   2.308                      -245.63919
                   2.315                      -245.23134
                   2.322                      -244.85864
                   2.329                      -244.52097
                   2.336                      -244.21763
                   2.343                      -243.94754
                    2.35                       -243.7094
                   2.357                      -243.50177
                   2.364                      -243.32312
                   2.371                      -243.17182
                   2.378                      -243.04621
                   2.385                       -242.9445
                   2.392                      -242.86483
                   2.399                      -242.80521
                   2.406                       -242.7635
                   2.413                      -242.73736
                    2.42                       -242.7243
                   2.427                      -242.72158
                   2.434                      -242.72627
                   2.441                      -242.73525
                   2.448                      -242.74523
                   2.455                      -242.75281
                   2.462                      -242.75459
                   2.469                       -242.7473
                   2.476                      -242.72789
                   2.483                      -242.69371
                    2.49                      -242.64265
                   2.497                      -242.57328
                   2.504                      -242.48491
                   2.511                      -242.37764
                   2.518                      -242.25232
                   2.525                      -242.11051
                   2.532                      -241.95431
                   2.539                      -241.78625
                   2.546                      -241.60915
                   2.553                      -241.42592
                    2.56                      -241.23949
                   2.567                      -241.05266
                   2.574                      -240.86808
                   2.581                      -240.68816
                   2.588                      -240.51507
                   2.595                      -240.35072
                   2.602                      -240.19678
                   2.609                      -240.05467
                   2.616                      -239.92563
                   2.623                      -239.81069
                    2.63                      -239.71071
                   2.637                      -239.62643
                   2.644                      -239.55844
                   2.651                      -239.50725
                   2.658                      -239.47326
                   2.665                      -239.45682
                   2.672                      -239.45821
                   2.679                      -239.47765
                   2.686                      -239.51535
                   2.693                      -239.57143
                     2.7                      -239.64603
                   2.707                      -239.73925
                   2.714                      -239.85114
                   2.721                      -239.98174
                   2.728                      -240.13108
                   2.735                      -240.29915
                   2.742                      -240.48588
                   2.749                      -240.69122
                   2.756                      -240.91502
                   2.763                       -241.1571
                    2.77                      -241.41723
                   2.777                      -241.69509
                   2.784                      -241.99026
                   2.791                      -242.30223
                   2.798                      -242.63035
                   2.805                      -242.97384
                   2.812                      -243.33176
                   2.819                      -243.70295
                   2.826                      -244.08609
                   2.833                      -244.47962
                    2.84                      -244.88177
                   2.847                      -245.29058
                   2.854                      -245.70386
                   2.861                      -246.11932
                   2.868                      -246.53457
                   2.875                      -246.94727
                   2.882                       -247.3552
                   2.889                      -247.75645
                   2.896                      -248.14953
                   2.903                      -248.53355
                    2.91                      -248.90832
                   2.917                      -249.27447
                   2.924                      -249.63349
                   2.931                       -249.9877
                   2.938                      -250.34027
                   2.945                      -250.69505
                   2.952                      -251.05654
                   2.959                      -251.42976
                   2.966                      -251.82014
                   2.973                      -252.23348
                    2.98                      -252.67589
                   2.987                      -253.15378
                   2.994                      -253.67383
                   3.001                      -254.24298
                   3.008                      -254.86834
                   3.015                      -255.55685
                   3.022                      -256.31457
                   3.029                      -257.14509
                   3.036                       -258.0461
                   3.043                      -259.00267
                    3.05                      -259.97493
                   3.057                      -260.87991
                   3.064                      -261.57846
                   3.071                      -261.90127
                   3.078                      -261.74163
                   3.085                      -261.14138
                   3.092                      -260.25531
                   3.099                      -259.24483
                   3.106                      -258.21982
                   3.113                      -257.23885
                    3.12                      -256.32759
                   3.127                      -255.49425
                   3.134                      -254.73867
                   3.141                      -254.05709
                   3.148                       -253.4445
                   3.155                      -252.89571
                   3.162                      -252.40582
                   3.169                      -251.97041
                   3.176                      -251.58557
                   3.183                      -251.24791
                    3.19                      -250.95447
                   3.197                      -250.70271
                   3.204                      -250.49045
                   3.211                      -250.31582
                   3.218                      -250.17723
                   3.225                      -250.07331
                   3.232                      -250.00294
                   3.239                      -249.96517
                   3.246                      -249.95922
                   3.253                      -249.98448
                    3.26                      -250.04048
                   3.267                      -250.12687
                   3.274                      -250.24345
                   3.281                      -250.39009
                   3.288                      -250.56682
                   3.295                      -250.77371
                   3.302                      -251.01094
                   3.309                      -251.27874
                   3.316                      -251.57739
                   3.323                      -251.90714
                    3.33                      -252.26821
                   3.337                      -252.66065
                   3.344                      -253.08425
                   3.351                      -253.53834
                   3.358                      -254.02154
                   3.365                      -254.53136
                   3.372                      -255.06368
                   3.379                      -255.61203
                   3.386                      -256.16666
                   3.393                      -256.71364
                     3.4                      -257.23392
                   3.407                       -257.7033
                   3.414                      -258.09376
                   3.421                        -258.377
                   3.428                       -258.5301
                   3.435                      -258.54149
                   3.442                      -258.41437
                   3.449                      -258.16561
                   3.456                      -257.82082
                   3.463                      -257.40821
                    3.47                      -256.95379
                   3.477                      -256.47888
                   3.484                      -255.99951
                   3.491                        -255.527
                   3.498                      -255.06884
                   3.505                       -254.6297
                   3.512                      -254.21222
                   3.519                      -253.81766
                   3.526                      -253.44631
                   3.533                      -253.09788
                    3.54                      -252.77166
                   3.547                      -252.46669
                   3.554                      -252.18187
                   3.561                      -251.91601
                   3.568                      -251.66789
                   3.575                      -251.43626
                   3.582                      -251.21989
                   3.589                      -251.01757
                   3.596                      -250.82809
                   3.603                       -250.6503
                    3.61                      -250.48305
                   3.617                      -250.32524
                   3.624                      -250.17583
                   3.631                      -250.03379
                   3.638                      -249.89818
                   3.645                      -249.76811
                   3.652                      -249.64274
                   3.659                      -249.52134
                   3.666                      -249.40326
                   3.673                      -249.28793
                    3.68                      -249.17491
                   3.687                      -249.06385
                   3.694                      -248.95452
                   3.701                      -248.84683
                   3.708                      -248.74078
                   3.715                       -248.6365
                   3.722                      -248.53423
                   3.729                      -248.43433
                   3.736                      -248.33722
                   3.743                      -248.24344
                    3.75                      -248.15359
                   3.757                      -248.06834
                   3.764                      -247.98841
                   3.771                      -247.91455
                   3.778                      -247.84755
                   3.785                      -247.78822
                   3.792                      -247.73737
                   3.799                      -247.69584
                   3.806                      -247.66443
                   3.813                      -247.64395
                    3.82                      -247.63521
                   3.827                      -247.63899
                   3.834                      -247.65605
                   3.841                      -247.68714
                   3.848                      -247.73298
                   3.855                      -247.79426
                   3.862                      -247.87164
                   3.869                      -247.96574
                   3.876                      -248.07715
                   3.883                      -248.20637
                    3.89                      -248.35385
                   3.897                      -248.51993
                   3.904                       -248.7048
                   3.911                      -248.90851
                   3.918                      -249.13084
                   3.925                      -249.37129
                   3.932                      -249.62893
                   3.939                      -249.90231
                   3.946                      -250.18929
                   3.953                      -250.48687
                    3.96                      -250.79097
                   3.967                      -251.09625
                   3.974                      -251.39593
                   3.981                      -251.68167
                   3.988                      -251.94374
                   3.995                      -252.17137
                   4.002                      -252.35349
                   4.009                      -252.47982
                   4.016                      -252.54219
                   4.023                       -252.5358
                    4.03                         -252.46
                   4.037                      -252.31845
                   4.044                      -252.11846
                   4.051                      -251.86991
                   4.058                      -251.58384
                   4.065                      -251.27134
                   4.072                      -250.94265
                   4.079                      -250.60666
                   4.086                      -250.27075
                   4.093                      -249.94084
                     4.1                      -249.62146
                   4.107                      -249.31605
                   4.114                      -249.02709
                   4.121                      -248.75631
                   4.128                      -248.50485
                   4.135                      -248.27342
                   4.142                      -248.06234
                   4.149                      -247.87168
                   4.156                      -247.70127
                   4.163                      -247.55078
                    4.17                       -247.4197
                   4.177                      -247.30743
                   4.184                      -247.21321
                   4.191                      -247.13618
                   4.198                      -247.07534
                   4.205                      -247.02959
                   4.212                      -246.99768
                   4.219                       -246.9782
                   4.226                      -246.96961
                   4.233                       -246.9702
                    4.24                      -246.97811
                   4.247                      -246.99131
                   4.254                      -247.00762
                   4.261                      -247.02478
                   4.268                      -247.04041
                   4.275                      -247.05212
                   4.282                      -247.05757
                   4.289                      -247.05454
                   4.296                        -247.041
                   4.303                      -247.01526
                    4.31                      -246.97597
                   4.317                      -246.92225
                   4.324                      -246.85372
                   4.331                      -246.77049
                   4.338                       -246.6732
                   4.345                      -246.56289
                   4.352                      -246.44104
                   4.359                      -246.30939
                   4.366                      -246.16992
                   4.373                      -246.02471
                    4.38                      -245.87589
                   4.387                      -245.72555
                   4.394                      -245.57569
                   4.401                      -245.42818
                   4.408                      -245.28475
                   4.415                      -245.14691
                   4.422                      -245.01604
                   4.429                      -244.89329
                   4.436                      -244.77967
                   4.443                        -244.676
                    4.45                      -244.58295
                   4.457                      -244.50104
                   4.464                      -244.43064
                   4.471                      -244.37201
                   4.478                      -244.32528
                   4.485                      -244.29048
                   4.492                      -244.26751
                   4.499                      -244.25618
                   4.506                      -244.25621
                   4.513                       -244.2672
                    4.52                      -244.28868
                   4.527                      -244.32007
                   4.534                       -244.3607
                   4.541                      -244.40981
                   4.548                      -244.46656
                   4.555                      -244.53004
                   4.562                      -244.59925
                   4.569                      -244.67314
                   4.576                      -244.75062
                   4.583                      -244.83058
                    4.59                      -244.91189
                   4.597                      -244.99347
                   4.604                      -245.07427
                   4.611                      -245.15334
                   4.618                      -245.22985
                   4.625                      -245.30312
                   4.632                      -245.37265
                   4.639                      -245.43814
                   4.646                      -245.49949
                   4.653                      -245.55686
                    4.66                       -245.6106
                   4.667                       -245.6613
                   4.674                      -245.70972
                   4.681                      -245.75682
                   4.688                      -245.80368
                   4.695                      -245.85151
                   4.702                       -245.9016
                   4.709                      -245.95527
                   4.716                      -246.01388
                   4.723                      -246.07878
                    4.73                      -246.15127
                   4.737                      -246.23262
                   4.744                      -246.32403
                   4.751                      -246.42662
                   4.758                       -246.5414
                   4.765                      -246.66929
                   4.772                       -246.8111
                   4.779                      -246.96746
                   4.786                      -247.13891
                   4.793                      -247.32575
                     4.8                      -247.52812
                   4.807                      -247.74591
                   4.814                       -247.9787
                   4.821                      -248.22576
                   4.828                      -248.48592
                   4.835                      -248.75754
                   4.842                      -249.03839
                   4.849                      -249.32559
                   4.856                      -249.61552
                   4.863                      -249.90375
                    4.87                      -250.18508
                   4.877                      -250.45357
                   4.884                      -250.70276
                   4.891                      -250.92597
                   4.898                      -251.11678
                   4.905                      -251.26958
                   4.912                      -251.38012
                   4.919                      -251.44608
                   4.926                      -251.46727
                   4.933                      -251.44575
                    4.94                      -251.38551
                   4.947                      -251.29203
                   4.954                      -251.17172
                   4.961                       -251.0313
                   4.968                      -250.87736
                   4.975                      -250.71598
                   4.982                      -250.55252
                   4.989                      -250.39154
                   4.996                      -250.23671
                   5.003                      -250.09095
                    5.01                       -249.9564
                   5.017                      -249.83456
                   5.024                      -249.72631
                   5.031                      -249.63202
                   5.038                      -249.55157
                   5.045                      -249.48441
                   5.052                      -249.42959
                   5.059                      -249.38575
                   5.066                      -249.35119
                   5.073                      -249.32385
                    5.08                      -249.30137
                   5.087                      -249.28107
                   5.094                      -249.26007
                   5.101                      -249.23533
                   5.108                      -249.20374
                   5.115                      -249.16228
                   5.122                       -249.1081
                   5.129                      -249.03874
                   5.136                      -248.95222
                   5.143                      -248.84718
                    5.15                      -248.72298
                   5.157                      -248.57973
                   5.164                      -248.41823
                   5.171                      -248.23999
                   5.178                      -248.04702
                   5.185                      -247.84175
                   5.192                      -247.62689
                   5.199                      -247.40526
                   5.206                      -247.17967
                   5.213                      -246.95286
                    5.22                      -246.72737
                   5.227                      -246.50555
                   5.234                       -246.2895
                   5.241                      -246.08108
                   5.248                      -245.88189
                   5.255                      -245.69331
                   5.262                      -245.51654
                   5.269                      -245.35254
                   5.276                      -245.20214
                   5.283                      -245.06603
                    5.29                      -244.94474
                   5.297                      -244.83872
                   5.304                      -244.74834
                   5.311                      -244.67387
                   5.318                      -244.61552
                   5.325                      -244.57345
                   5.332                      -244.54778
                   5.339                      -244.53857
                   5.346                      -244.54585
                   5.353                       -244.5696
                    5.36                      -244.60979
                   5.367                      -244.66633
                   5.374                      -244.73909
                   5.381                       -244.8279
                   5.388                      -244.93253
                   5.395                      -245.05271
                   5.402                      -245.18805
                   5.409                      -245.33813
                   5.416                      -245.50236
                   5.423                      -245.68009
                    5.43                      -245.87046
                   5.437                      -246.07248
                   5.444                      -246.28492
                   5.451                      -246.50635
                   5.458                      -246.73503
                   5.465                      -246.96897
                   5.472                      -247.20582
                   5.479                      -247.44291
                   5.486                      -247.67724
                   5.493                      -247.90548
                     5.5                      -248.12407
                   5.507                      -248.32925
                   5.514                      -248.51723
                   5.521                      -248.68434
                   5.528                      -248.82721
                   5.535                      -248.94297
                   5.542                      -249.02943
                   5.549                      -249.08522
                   5.556                      -249.10987
                   5.563                      -249.10381
                    5.57                      -249.06832
                   5.577                      -249.00536
                   5.584                      -248.91739
                   5.591                      -248.80721
                   5.598                      -248.67774
                   5.605                      -248.53187
                   5.612                      -248.37234
                   5.619                      -248.20163
                   5.626                      -248.02193
                   5.633                      -247.83513
                    5.64                      -247.64278
                   5.647                      -247.44617
                   5.654                      -247.24633
                   5.661                      -247.04405
                   5.668                      -246.83998
                   5.675                      -246.63462
                   5.682                      -246.42839
                   5.689                      -246.22162
                   5.696                      -246.01464
                   5.703                      -245.80777
                    5.71                      -245.60132
                   5.717                      -245.39564
                   5.724                      -245.19112
                   5.731                      -244.98818
                   5.738                      -244.78728
                   5.745                      -244.58893
                   5.752                      -244.39364
                   5.759                      -244.20199
                   5.766                      -244.01456
                   5.773                      -243.83192
                    5.78                      -243.65469
                   5.787                      -243.48345
                   5.794                      -243.31878
                   5.801                      -243.16125
                   5.808                      -243.01142
                   5.815                      -242.86979
                   5.822                      -242.73688
                   5.829                      -242.61313
                   5.836                      -242.49899
                   5.843                      -242.39484
                    5.85                      -242.30106
                   5.857                      -242.21797
                   5.864                      -242.14586
                   5.871                      -242.08499
                   5.878                      -242.03556
                   5.885                      -241.99777
                   5.892                      -241.97175
                   5.899                      -241.95758
                   5.906                      -241.95534
                   5.913                      -241.96501
                    5.92                      -241.98656
                   5.927                      -242.01986
                   5.934                      -242.06476
                   5.941                        -242.121
                   5.948                      -242.18827
                   5.955                      -242.26615
                   5.962                      -242.35413
                   5.969                      -242.45155
                   5.976                      -242.55767
                   5.983                      -242.67157
                    5.99                      -242.79219
                   5.997                      -242.91827
                   6.004                       -243.0484
                   6.011                      -243.18094
                   6.018                       -243.3141
                   6.025                      -243.44586
                   6.032                      -243.57407
                   6.039                      -243.69644
                   6.046                      -243.81057
                   6.053                      -243.91409
                    6.06                      -244.00465
                   6.067                      -244.08008
                   6.074                      -244.13848
                   6.081                      -244.17829
                   6.088                      -244.19841
                   6.095                      -244.19821
                   6.102                      -244.17765
                   6.109                       -244.1372
                   6.116                      -244.07783
                   6.123                      -244.00098
                    6.13                      -243.90844
                   6.137                      -243.80223
                   6.144                      -243.68457
                   6.151                      -243.55773
                   6.158                      -243.42395
                   6.165                      -243.28542
                   6.172                      -243.14418
                   6.179                      -243.00212
                   6.186                      -242.86094
                   6.193                      -242.72217
                     6.2                      -242.58713
                   6.207                        -242.457
                   6.214                      -242.33276
                   6.221                      -242.21525
                   6.228                      -242.10519
                   6.235                      -242.00316
                   6.242                      -241.90964
                   6.249                      -241.82503
                   6.256                      -241.74965
                   6.263                      -241.68372
                    6.27                      -241.62745
                   6.277                      -241.58097
                   6.284                      -241.54436
                   6.291                      -241.51767
                   6.298                      -241.50092
                   6.305                      -241.49409
                   6.312                      -241.49713
                   6.319                      -241.50993
                   6.326                       -241.5324
                   6.333                      -241.56437
                    6.34                      -241.60564
                   6.347                      -241.65597
                   6.354                      -241.71507
                   6.361                      -241.78259
                   6.368                      -241.85811
                   6.375                      -241.94115
                   6.382                      -242.03114
                   6.389                       -242.1274
                   6.396                      -242.22915
                   6.403                      -242.33552
                    6.41                      -242.44549
                   6.417                       -242.5579
                   6.424                      -242.67149
                   6.431                      -242.78482
                   6.438                      -242.89636
                   6.445                      -243.00444
                   6.452                      -243.10731
                   6.459                      -243.20318
                   6.466                      -243.29021
                   6.473                      -243.36666
                    6.48                      -243.43085
                   6.487                       -243.4813
                   6.494                      -243.51679
                   6.501                      -243.53638
                   6.508                      -243.53952
                   6.515                      -243.52604
                   6.522                      -243.49618
                   6.529                      -243.45059
                   6.536                      -243.39029
                   6.543                      -243.31661
                    6.55                      -243.23114
                   6.557                       -243.1357
                   6.564                      -243.03217
                   6.571                      -242.92254
                   6.578                      -242.80877
                   6.585                      -242.69279
                   6.592                      -242.57643
                   6.599                      -242.46141
                   6.606                      -242.34933
                   6.613                      -242.24164
                    6.62                      -242.13965
                   6.627                      -242.04455
                   6.634                      -241.95737
                   6.641                      -241.87905
                   6.648                      -241.81039
                   6.655                      -241.75211
                   6.662                      -241.70482
                   6.669                      -241.66907
                   6.676                      -241.64532
                   6.683                      -241.63398
                    6.69                      -241.63539
                   6.697                      -241.64986
                   6.704                      -241.67764
                   6.711                      -241.71896
                   6.718                        -241.774
                   6.725                      -241.84291
                   6.732                      -241.92581
                   6.739                      -242.02282
                   6.746                      -242.13399
                   6.753                      -242.25937
                    6.76                      -242.39896
                   6.767                      -242.55275
                   6.774                      -242.72068
                   6.781                      -242.90265
                   6.788                      -243.09851
                   6.795                      -243.30806
                   6.802                      -243.53105
                   6.809                      -243.76714
                   6.816                      -244.01592
                   6.823                      -244.27688
                    6.83                      -244.54941
                   6.837                      -244.83275
                   6.844                      -245.12605
                   6.851                      -245.42828
                   6.858                      -245.73825
                   6.865                       -246.0546
                   6.872                      -246.37582
                   6.879                      -246.70018
                   6.886                      -247.02585
                   6.893                      -247.35082
                     6.9                      -247.67301
                   6.907                       -247.9903
                   6.914                      -248.30059
                   6.921                       -248.6019
                   6.928                      -248.89248
                   6.935                      -249.17086
                   6.942                      -249.43597
                   6.949                      -249.68719
                   6.956                      -249.92446
                   6.963                      -250.14818
                    6.97                      -250.35933
                   6.977                      -250.55929
                   6.984                      -250.74989
                   6.991                      -250.93319
                   6.998                      -251.11149
                   7.005                      -251.28713
                   7.012                      -251.46247
                   7.019                      -251.63972
                   7.026                      -251.82092
                   7.033                      -252.00782
                    7.04                      -252.20182
                   7.047                      -252.40392
                   7.054                      -252.61464
                   7.061                      -252.83391
                   7.068                      -253.06102
                   7.075                      -253.29451
