        Frequency / GHz                voltage1_1_1_1 [1]/abs,dB
----------------------------------------------------------------------
                       2                      -241.42209
                   2.007                      -241.30207
                   2.014                      -241.20097
                   2.021                      -241.11835
                   2.028                      -241.05368
                   2.035                       -241.0064
                   2.042                      -240.97587
                   2.049                      -240.96136
                   2.056                      -240.96208
                   2.063                      -240.97709
                    2.07                      -241.00536
                   2.077                      -241.04569
                   2.084                      -241.09672
                   2.091                      -241.15692
                   2.098                      -241.22456
                   2.105                       -241.2977
                   2.112                      -241.37421
                   2.119                      -241.45177
                   2.126                       -241.5279
                   2.133                      -241.59999
                    2.14                      -241.66539
                   2.147                       -241.7215
                   2.154                      -241.76586
                   2.161                      -241.79624
                   2.168                      -241.81082
                   2.175                      -241.80825
                   2.182                      -241.78775
                   2.189                      -241.74918
                   2.196                        -241.693
                   2.203                       -241.6203
                    2.21                      -241.53269
                   2.217                      -241.43222
                   2.224                      -241.32126
                   2.231                      -241.20237
                   2.238                      -241.07821
                   2.245                      -240.95142
                   2.252                      -240.82456
                   2.259                      -240.70002
                   2.266                      -240.58004
                   2.273                       -240.4666
                    2.28                      -240.36149
                   2.287                      -240.26627
                   2.294                       -240.1823
                   2.301                      -240.11072
                   2.308                      -240.05249
                   2.315                       -240.0084
                   2.322                      -239.97905
                   2.329                      -239.96491
                   2.336                       -239.9663
                   2.343                      -239.98338
                    2.35                      -240.01615
                   2.357                      -240.06449
                   2.364                       -240.1281
                   2.371                      -240.20648
                   2.378                      -240.29898
                   2.385                      -240.40468
                   2.392                      -240.52246
                   2.399                      -240.65091
                   2.406                      -240.78831
                   2.413                      -240.93263
                    2.42                       -241.0815
                   2.427                       -241.2322
                   2.434                      -241.38167
                   2.441                      -241.52657
                   2.448                      -241.66336
                   2.455                      -241.78837
                   2.462                      -241.89802
                   2.469                      -241.98897
                   2.476                       -242.0583
                   2.483                      -242.10379
                    2.49                      -242.12399
                   2.497                      -242.11844
                   2.504                       -242.0876
                   2.511                      -242.03291
                   2.518                      -241.95658
                   2.525                      -241.86148
                   2.532                       -241.7509
                   2.539                      -241.62836
                   2.546                      -241.49743
                   2.553                      -241.36157
                    2.56                      -241.22401
                   2.567                      -241.08769
                   2.574                      -240.95521
                   2.581                      -240.82884
                   2.588                      -240.71047
                   2.595                      -240.60172
                   2.602                      -240.50386
                   2.609                      -240.41794
                   2.616                      -240.34475
                   2.623                      -240.28486
                    2.63                      -240.23869
                   2.637                      -240.20648
                   2.644                      -240.18833
                   2.651                      -240.18423
                   2.658                      -240.19406
                   2.665                      -240.21759
                   2.672                      -240.25452
                   2.679                      -240.30446
                   2.686                      -240.36696
                   2.693                      -240.44149
                     2.7                      -240.52748
                   2.707                      -240.62429
                   2.714                      -240.73123
                   2.721                      -240.84759
                   2.728                      -240.97262
                   2.735                      -241.10552
                   2.742                      -241.24552
                   2.749                       -241.3918
                   2.756                       -241.5436
                   2.763                      -241.70015
                    2.77                      -241.86071
                   2.777                      -242.02461
                   2.784                      -242.19123
                   2.791                      -242.36002
                   2.798                      -242.53051
                   2.805                      -242.70233
                   2.812                      -242.87517
                   2.819                      -243.04883
                   2.826                      -243.22315
                   2.833                      -243.39808
                    2.84                      -243.57359
                   2.847                      -243.74969
                   2.854                       -243.9264
                   2.861                      -244.10372
                   2.868                      -244.28163
                   2.875                      -244.46002
                   2.882                      -244.63873
                   2.889                      -244.81746
                   2.896                      -244.99582
                   2.903                      -245.17328
                    2.91                      -245.34917
                   2.917                       -245.5227
                   2.924                      -245.69298
                   2.931                      -245.85904
                   2.938                      -246.01985
                   2.945                       -246.1744
                   2.952                      -246.32175
                   2.959                      -246.46108
                   2.966                      -246.59175
                   2.973                      -246.71339
                    2.98                      -246.82593
                   2.987                      -246.92964
                   2.994                      -247.02515
                   3.001                      -247.11344
                   3.008                      -247.19585
                   3.015                        -247.274
                   3.022                      -247.34977
                   3.029                      -247.42524
                   3.036                      -247.50257
                   3.043                      -247.58401
                    3.05                      -247.67179
                   3.057                      -247.76806
                   3.064                      -247.87488
                   3.071                      -247.99409
                   3.078                      -248.12734
                   3.085                      -248.27598
                   3.092                      -248.44101
                   3.099                      -248.62299
                   3.106                      -248.82197
                   3.113                      -249.03731
                    3.12                      -249.26757
                   3.127                      -249.51022
                   3.134                      -249.76151
                   3.141                       -250.0161
                   3.148                      -250.26693
                   3.155                        -250.505
                   3.162                      -250.71949
                   3.169                      -250.89816
                   3.176                      -251.02824
                   3.183                      -251.09774
                    3.19                      -251.09717
                   3.197                      -251.02109
                   3.204                      -250.86912
                   3.211                      -250.64601
                   3.218                      -250.36073
                   3.225                      -250.02498
                   3.232                      -249.65146
                   3.239                      -249.25251
                   3.246                      -248.83916
                   3.253                      -248.42067
                    3.26                      -248.00446
                   3.267                      -247.59617
                   3.274                      -247.19998
                   3.281                       -246.8188
                   3.288                      -246.45457
                   3.295                      -246.10849
                   3.302                      -245.78113
                   3.309                      -245.47266
                   3.316                      -245.18293
                   3.323                      -244.91153
                    3.33                      -244.65791
                   3.337                      -244.42137
                   3.344                      -244.20118
                   3.351                      -243.99651
                   3.358                      -243.80656
                   3.365                      -243.63049
                   3.372                      -243.46749
                   3.379                      -243.31678
                   3.386                      -243.17764
                   3.393                      -243.04936
                     3.4                      -242.93132
                   3.407                      -242.82297
                   3.414                      -242.72383
                   3.421                       -242.6335
                   3.428                      -242.55165
                   3.435                      -242.47805
                   3.442                      -242.41255
                   3.449                      -242.35508
                   3.456                      -242.30565
                   3.463                      -242.26432
                    3.47                      -242.23124
                   3.477                      -242.20661
                   3.484                      -242.19066
                   3.491                      -242.18365
                   3.498                      -242.18588
                   3.505                      -242.19765
                   3.512                      -242.21925
                   3.519                      -242.25094
                   3.526                      -242.29296
                   3.533                       -242.3455
                    3.54                      -242.40868
                   3.547                      -242.48251
                   3.554                      -242.56694
                   3.561                      -242.66174
                   3.568                      -242.76659
                   3.575                      -242.88094
                   3.582                      -243.00411
                   3.589                      -243.13514
                   3.596                      -243.27286
                   3.603                      -243.41585
                    3.61                      -243.56238
                   3.617                      -243.71047
                   3.624                      -243.85787
                   3.631                      -244.00208
                   3.638                      -244.14041
                   3.645                      -244.27006
                   3.652                      -244.38824
                   3.659                      -244.49226
                   3.666                      -244.57971
                   3.673                       -244.6486
                    3.68                      -244.69749
                   3.687                      -244.72561
                   3.694                      -244.73291
                   3.701                      -244.72009
                   3.708                      -244.68855
                   3.715                      -244.64028
                   3.722                      -244.57772
                   3.729                      -244.50367
                   3.736                      -244.42106
                   3.743                      -244.33288
                    3.75                      -244.24202
                   3.757                      -244.15122
                   3.764                      -244.06296
                   3.771                      -243.97947
                   3.778                      -243.90267
                   3.785                      -243.83419
                   3.792                      -243.77536
                   3.799                      -243.72726
                   3.806                      -243.69067
                   3.813                      -243.66614
                    3.82                        -243.654
                   3.827                      -243.65434
                   3.834                      -243.66708
                   3.841                      -243.69192
                   3.848                      -243.72839
                   3.855                      -243.77587
                   3.862                      -243.83356
                   3.869                      -243.90052
                   3.876                      -243.97569
                   3.883                      -244.05789
                    3.89                      -244.14586
                   3.897                      -244.23827
                   3.904                      -244.33378
                   3.911                      -244.43105
                   3.918                      -244.52884
                   3.925                      -244.62599
                   3.932                      -244.72153
                   3.939                      -244.81469
                   3.946                      -244.90496
                   3.953                      -244.99214
                    3.96                      -245.07633
                   3.967                      -245.15797
                   3.974                      -245.23781
                   3.981                      -245.31691
                   3.988                      -245.39661
                   3.995                      -245.47846
                   4.002                      -245.56425
                   4.009                      -245.65586
                   4.016                      -245.75533
                   4.023                      -245.86474
                    4.03                      -245.98621
                   4.037                      -246.12188
                   4.044                      -246.27388
                   4.051                      -246.44431
                   4.058                      -246.63526
                   4.065                      -246.84877
                   4.072                      -247.08685
                   4.079                      -247.35145
                   4.086                      -247.64447
                   4.093                       -247.9677
                     4.1                      -248.32279
                   4.107                      -248.71113
                   4.114                      -249.13375
                   4.121                      -249.59102
                   4.128                      -250.08231
                   4.135                      -250.60546
                   4.142                      -251.15591
                   4.149                      -251.72555
                   4.156                      -252.30126
                   4.163                      -252.86325
                    4.17                      -253.38385
                   4.177                      -253.82796
                   4.184                      -254.15682
                   4.191                      -254.33587
                   4.198                      -254.34498
                   4.205                      -254.18559
                   4.212                      -253.88011
                   4.219                      -253.46406
                   4.226                      -252.97595
                   4.233                      -252.44985
