        Frequency / GHz                S1,1/abs,dB
----------------------------------------------------------------------
                       2                      -9.5186635
                   2.007                      -9.5149334
               2.0139999                      -9.5121028
               2.0209999                      -9.5097679
               2.0280001                      -9.5075206
               2.0350001                      -9.5049519
               2.0420001                      -9.5016768
                   2.049                      -9.4973403
                   2.056                      -9.4916302
                   2.063                      -9.4842852
               2.0699999                      -9.4751079
               2.0769999                      -9.4639621
               2.0840001                      -9.4507795
               2.0910001                      -9.4355618
                   2.098                      -9.4183691
                   2.105                      -9.3993257
                   2.112                      -9.3786027
                   2.119                      -9.3564154
               2.1259999                      -9.3330081
               2.1329999                      -9.3086444
               2.1400001                      -9.2835992
               2.1470001                      -9.2581429
                   2.154                      -9.2325352
                   2.161                      -9.2070132
                   2.168                      -9.1817871
                   2.175                      -9.1570299
               2.1819999                      -9.1328764
               2.1889999                      -9.1094205
               2.1960001                      -9.0867126
               2.2030001                      -9.0647589
                    2.21                      -9.0435307
                   2.217                      -9.0229604
                   2.224                      -9.0029528
               2.2309999                      -8.9833832
               2.2379999                      -8.9641157
               2.2449999                      -8.9450001
               2.2520001                       -8.925886
               2.2590001                      -8.9066252
                   2.266                      -8.8870908
                   2.273                      -8.8671664
                    2.28                      -8.8467699
               2.2869999                      -8.8258474
               2.2939999                       -8.804378
               2.3010001                      -8.7823839
               2.3080001                      -8.7599186
               2.3150001                      -8.7370797
                   2.322                      -8.7139996
                   2.329                      -8.6908419
                   2.336                       -8.667798
               2.3429999                       -8.645087
               2.3499999                      -8.6229406
               2.3570001                      -8.6016054
               2.3640001                      -8.5813325
               2.3710001                      -8.5623698
                   2.378                      -8.5449591
                   2.385                      -8.5293283
                   2.392                      -8.5156901
               2.3989999                      -8.5042299
               2.4059999                      -8.4951109
               2.4130001                      -8.4884648
               2.4200001                      -8.4843922
                   2.427                      -8.4829614
                   2.434                      -8.4842047
                   2.441                      -8.4881244
                   2.448                       -8.494685
               2.4549999                      -8.5038227
               2.4619999                      -8.5154414
               2.4690001                       -8.529418
               2.4760001                      -8.5456046
                   2.483                      -8.5638293
                    2.49                      -8.5839025
                   2.497                      -8.6056249
               2.5039999                       -8.628778
               2.5109999                      -8.6531419
               2.5179999                      -8.6784933
               2.5250001                       -8.704612
               2.5320001                      -8.7312819
                   2.539                      -8.7582974
                   2.546                      -8.7854675
                   2.553                      -8.8126168
               2.5599999                      -8.8395889
               2.5669999                      -8.8662512
               2.5739999                      -8.8924956
               2.5810001                      -8.9182379
               2.5880001                      -8.9434198
                   2.595                       -8.968009
                   2.602                      -8.9919976
                   2.609                      -9.0154054
               2.6159999                      -9.0382706
               2.6229999                      -9.0606545
               2.6300001                      -9.0826321
               2.6370001                      -9.1042973
               2.6440001                      -9.1257509
                   2.651                       -9.147102
                   2.658                      -9.1684659
                   2.665                      -9.1899524
               2.6719999                      -9.2116674
               2.6789999                      -9.2337148
               2.6860001                      -9.2561776
               2.6930001                      -9.2791287
                     2.7                      -9.3026158
                   2.707                      -9.3266728
                   2.714                      -9.3513028
                   2.721                      -9.3764799
               2.7279999                      -9.4021542
               2.7349999                       -9.428244
               2.7420001                      -9.4546342
               2.7490001                       -9.481184
                   2.756                      -9.5077238
                   2.763                      -9.5340527
                    2.77                      -9.5599515
                   2.777                      -9.5851774
               2.7839999                      -9.6094768
               2.7909999                       -9.632584
               2.7980001                       -9.654236
               2.8050001                      -9.6741708
                   2.812                       -9.692141
                   2.819                      -9.7079235
                   2.826                      -9.7213226
               2.8329999                      -9.7321811
               2.8399999                      -9.7403861
               2.8469999                      -9.7458747
               2.8540001                      -9.7486392
               2.8610001                      -9.7487287
                   2.868                      -9.7462521
                   2.875                      -9.7413737
                   2.882                      -9.7343165
               2.8889999                      -9.7253486
               2.8959999                      -9.7147826
               2.9030001                      -9.7029665
               2.9100001                      -9.6902745
               2.9170001                      -9.6770944
                   2.924                      -9.6638185
                   2.931                      -9.6508333
                   2.938                      -9.6385073
               2.9449999                      -9.6271795
               2.9519999                      -9.6171553
               2.9590001                       -9.608687
               2.9660001                      -9.6019776
