        Frequency / GHz                voltage1 [1]/abs,dB
----------------------------------------------------------------------
                       2                      -227.23043
                   2.007                      -226.91234
                   2.014                      -226.62558
                   2.021                      -226.37204
                   2.028                      -226.15298
                   2.035                      -225.96915
                   2.042                      -225.82095
                   2.049                      -225.70855
                   2.056                      -225.63197
                   2.063                      -225.59108
                    2.07                      -225.58568
                   2.077                       -225.6155
                   2.084                      -225.68018
                   2.091                      -225.77933
                   2.098                      -225.91241
                   2.105                      -226.07881
                   2.112                      -226.27774
                   2.119                       -226.5082
                   2.126                      -226.76892
                   2.133                      -227.05828
                    2.14                      -227.37426
                   2.147                      -227.71428
                   2.154                      -228.07519
                   2.161                      -228.45316
                   2.168                      -228.84363
                   2.175                      -229.24139
                   2.182                      -229.64067
                   2.189                       -230.0354
                   2.196                      -230.41964
                   2.203                      -230.78811
                    2.21                      -231.13681
                   2.217                      -231.46361
                   2.224                      -231.76878
                   2.231                      -232.05517
                   2.238                      -232.32818
                   2.245                      -232.59548
                   2.252                      -232.86647
                   2.259                      -233.15184
                   2.266                      -233.46305
                   2.273                      -233.81202
                    2.28                      -234.21093
                   2.287                      -234.67208
                   2.294                      -235.20765
                   2.301                      -235.82915
                   2.308                      -236.54573
                   2.315                      -237.36024
                   2.322                      -238.25996
                   2.329                      -239.19734
                   2.336                      -240.05743
                   2.343                      -240.63168
                    2.35                      -240.67481
                   2.357                      -240.08917
                   2.364                      -239.02505
                   2.371                       -237.7328
                   2.378                      -236.40015
                   2.385                        -235.124
                   2.392                      -233.94264
                   2.399                      -232.86567
                   2.406                      -231.89046
                   2.413                      -231.00994
                    2.42                      -230.21594
                   2.427                      -229.50057
                   2.434                      -228.85663
                   2.441                       -228.2778
                   2.448                      -227.75855
                   2.455                      -227.29401
                   2.462                      -226.87993
                   2.469                      -226.51253
                   2.476                       -226.1884
                   2.483                      -225.90443
                    2.49                      -225.65774
                   2.497                       -225.4456
                   2.504                      -225.26539
                   2.511                      -225.11452
                   2.518                      -224.99042
                   2.525                      -224.89048
                   2.532                      -224.81204
                   2.539                      -224.75237
                   2.546                      -224.70862
                   2.553                      -224.67791
                    2.56                      -224.65726
                   2.567                      -224.64372
                   2.574                      -224.63436
                   2.581                       -224.6264
                   2.588                      -224.61728
                   2.595                      -224.60478
                   2.602                      -224.58709
                   2.609                      -224.56292
                   2.616                      -224.53157
                   2.623                      -224.49294
                    2.63                      -224.44754
                   2.637                      -224.39645
                   2.644                      -224.34126
                   2.651                      -224.28394
                   2.658                      -224.22679
                   2.665                      -224.17228
                   2.672                      -224.12301
                   2.679                      -224.08157
                   2.686                      -224.05051
                   2.693                      -224.03231
                     2.7                      -224.02928
                   2.707                      -224.04363
                   2.714                      -224.07741
                   2.721                      -224.13254
                   2.728                      -224.21081
                   2.735                      -224.31393
                   2.742                      -224.44352
                   2.749                      -224.60114
                   2.756                      -224.78831
                   2.763                      -225.00654
                    2.77                      -225.25738
                   2.777                      -225.54235
                   2.784                      -225.86307
                   2.791                      -226.22117
                   2.798                      -226.61837
                   2.805                       -227.0564
                   2.812                      -227.53704
                   2.819                      -228.06201
                   2.826                      -228.63286
                   2.833                      -229.25079
                    2.84                      -229.91633
                   2.847                       -230.6288
                   2.854                       -231.3855
                   2.861                      -232.18043
                   2.868                      -233.00245
                   2.875                      -233.83294
                   2.882                      -234.64321
                   2.889                      -235.39325
                   2.896                      -236.03417
                   2.903                      -236.51736
                    2.91                      -236.80948
                   2.917                      -236.90609
                   2.924                      -236.83391
                   2.931                      -236.63982
                   2.938                      -236.37521
                   2.945                      -236.08474
                   2.952                      -235.80198
                   2.959                      -235.54995
