        Frequency / GHz                voltage1_1 [1]/abs,dB
----------------------------------------------------------------------
                       2                      -230.06096
                   2.007                      -229.98911
                   2.014                      -229.92475
                   2.021                      -229.86847
                   2.028                      -229.82083
                   2.035                      -229.78231
                   2.042                      -229.75338
                   2.049                      -229.73442
                   2.056                      -229.72577
                   2.063                      -229.72769
                    2.07                      -229.74037
                   2.077                      -229.76393
                   2.084                      -229.79842
                   2.091                      -229.84377
                   2.098                      -229.89984
                   2.105                       -229.9664
                   2.112                      -230.04309
                   2.119                      -230.12944
                   2.126                      -230.22485
                   2.133                      -230.32859
                    2.14                       -230.4398
                   2.147                      -230.55745
                   2.154                      -230.68038
                   2.161                       -230.8073
                   2.168                      -230.93674
                   2.175                      -231.06717
                   2.182                      -231.19691
                   2.189                      -231.32425
                   2.196                      -231.44748
                   2.203                      -231.56491
                    2.21                      -231.67496
                   2.217                      -231.77624
                   2.224                      -231.86759
                   2.231                      -231.94816
                   2.238                      -232.01745
                   2.245                      -232.07535
                   2.252                      -232.12215
                   2.259                      -232.15855
                   2.266                      -232.18559
                   2.273                      -232.20466
                    2.28                      -232.21738
                   2.287                      -232.22558
                   2.294                      -232.23123
                   2.301                      -232.23634
                   2.308                      -232.24296
                   2.315                      -232.25306
                   2.322                      -232.26856
                   2.329                      -232.29129
                   2.336                      -232.32292
                   2.343                      -232.36501
                    2.35                        -232.419
                   2.357                      -232.48615
                   2.364                      -232.56762
                   2.371                      -232.66442
                   2.378                      -232.77745
                   2.385                      -232.90745
                   2.392                      -233.05504
                   2.399                      -233.22073
                   2.406                      -233.40484
                   2.413                      -233.60758
                    2.42                      -233.82892
                   2.427                      -234.06866
                   2.434                      -234.32633
                   2.441                      -234.60114
                   2.448                      -234.89193
                   2.455                      -235.19712
                   2.462                      -235.51456
                   2.469                       -235.8415
                   2.476                      -236.17446
                   2.483                       -236.5092
                    2.49                      -236.84066
                   2.497                      -237.16301
                   2.504                       -237.4698
                   2.511                      -237.75423
                   2.518                      -238.00959
                   2.525                      -238.22976
                   2.532                      -238.40986
                   2.539                      -238.54676
                   2.546                      -238.63955
                   2.553                      -238.68959
                    2.56                       -238.7004
                   2.567                      -238.67726
                   2.574                       -238.6266
                   2.581                      -238.55543
                   2.588                      -238.47078
                   2.595                      -238.37935
                   2.602                      -238.28719
                   2.609                       -238.1996
                   2.616                      -238.12111
                   2.623                      -238.05548
                    2.63                      -238.00582
                   2.637                      -237.97464
                   2.644                      -237.96399
                   2.651                      -237.97551
                   2.658                      -238.01056
                   2.665                      -238.07022
                   2.672                      -238.15544
                   2.679                      -238.26701
                   2.686                      -238.40568
                   2.693                      -238.57212
                     2.7                      -238.76701
                   2.707                      -238.99105
                   2.714                      -239.24495
                   2.721                      -239.52955
                   2.728                      -239.84572
                   2.735                      -240.19451
                   2.742                      -240.57707
                   2.749                      -240.99476
                   2.756                      -241.44918
                   2.763                      -241.94216
                    2.77                      -242.47591
                   2.777                      -243.05301
                   2.784                      -243.67655
                   2.791                      -244.35025
                   2.798                      -245.07858
                   2.805                      -245.86698
                   2.812                       -246.7221
                   2.819                      -247.65213
                   2.826                      -248.66717
                   2.833                      -249.77961
                    2.84                      -251.00449
                   2.847                      -252.35921
                   2.854                      -253.86127
                   2.861                      -255.51994
                   2.868                      -257.31038
                   2.875                      -259.10447
                   2.882                      -260.54844
                   2.889                       -261.0964
                   2.896                      -260.56167
                   2.903                      -259.38824
                    2.91                      -258.06614
                   2.917                      -256.82766
                   2.924                      -255.73964
                   2.931                      -254.80575
                   2.938                      -254.01122
                   2.945                      -253.33826
                   2.952                      -252.77071
                   2.959                        -252.295
                   2.966                      -251.90007
                   2.973                      -251.57688
                    2.98                      -251.31792
                   2.987                      -251.11673
                   2.994                      -250.96745
                   3.001                      -250.86433
                   3.008                      -250.80124
                   3.015                      -250.77114
                   3.022                      -250.76545
                   3.029                      -250.77345
                   3.036                      -250.78175
                   3.043                        -250.774
                    3.05                      -250.73124
                   3.057                      -250.63315
                   3.064                      -250.46045
                   3.071                      -250.19812
                   3.078                      -249.83844
                   3.085                      -249.38278
                   3.092                      -248.84114
                   3.099                      -248.22972
                   3.106                      -247.56758
                   3.113                      -246.87371
                    3.12                      -246.16496
                   3.127                      -245.45513
                   3.134                      -244.75491
                   3.141                      -244.07214
                   3.148                      -243.41237
                   3.155                      -242.77935
                   3.162                      -242.17549
                   3.169                      -241.60225
                   3.176                       -241.0604
                   3.183                      -240.55025
                    3.19                      -240.07176
                   3.197                      -239.62473
                   3.204                      -239.20881
                   3.211                      -238.82356
                   3.218                      -238.46853
                   3.225                      -238.14325
                   3.232                      -237.84725
                   3.239                      -237.58008
                   3.246                      -237.34131
                   3.253                      -237.13054
                    3.26                      -236.94738
                   3.267                      -236.79143
                   3.274                      -236.66235
                   3.281                      -236.55973
                   3.288                      -236.48319
                   3.295                      -236.43227
                   3.302                      -236.40646
                   3.309                      -236.40517
                   3.316                      -236.42764
                   3.323                      -236.47295
                    3.33                      -236.53993
                   3.337                       -236.6271
                   3.344                       -236.7326
                   3.351                      -236.85407
                   3.358                      -236.98859
                   3.365                      -237.13252
                   3.372                      -237.28149
                   3.379                      -237.43029
                   3.386                      -237.57291
                   3.393                      -237.70264
                     3.4                      -237.81232
                   3.407                      -237.89473
                   3.414                      -237.94313
                   3.421                      -237.95189
                   3.428                       -237.9171
                   3.435                      -237.83706
                   3.442                      -237.71245
                   3.449                       -237.5463
                   3.456                      -237.34356
                   3.463                      -237.11051
                    3.47                      -236.85418
                   3.477                       -236.5817
                   3.484                      -236.29991
                   3.491                        -236.015
                   3.498                      -235.73239
                   3.505                      -235.45665
                   3.512                      -235.19158
                   3.519                      -234.94021
                   3.526                      -234.70497
                   3.533                      -234.48774
                    3.54                      -234.28995
                   3.547                      -234.11268
                   3.554                      -233.95672
                   3.561                      -233.82261
                   3.568                      -233.71073
                   3.575                       -233.6213
                   3.582                       -233.5544
                   3.589                      -233.51004
                   3.596                      -233.48811
                   3.603                      -233.48841
                    3.61                      -233.51068
                   3.617                      -233.55456
                   3.624                      -233.61956
                   3.631                      -233.70511
                   3.638                      -233.81048
                   3.645                      -233.93477
                   3.652                       -234.0769
                   3.659                      -234.23554
                   3.666                       -234.4091
                   3.673                      -234.59567
                    3.68                      -234.79297
                   3.687                      -234.99836
                   3.694                      -235.20875
                   3.701                      -235.42067
                   3.708                      -235.63024
                   3.715                       -235.8333
                   3.722                      -236.02549
                   3.729                      -236.20246
                   3.736                      -236.36012
                   3.743                      -236.49485
                    3.75                      -236.60385
                   3.757                      -236.68529
                   3.764                      -236.73854
                   3.771                      -236.76418
                   3.778                      -236.76395
                   3.785                      -236.74061
                   3.792                      -236.69765
                   3.799                      -236.63905
                   3.806                      -236.56902
                   3.813                      -236.49171
                    3.82                      -236.41109
                   3.827                      -236.33077
                   3.834                      -236.25395
                   3.841                      -236.18336
                   3.848                      -236.12129
                   3.855                      -236.06956
                   3.862                      -236.02959
                   3.869                      -236.00239
                   3.876                      -235.98863
                   3.883                      -235.98868
                    3.89                      -236.00258
                   3.897                      -236.03013
                   3.904                      -236.07089
                   3.911                      -236.12418
                   3.918                      -236.18914
                   3.925                      -236.26469
                   3.932                      -236.34964
                   3.939                      -236.44261
                   3.946                      -236.54217
                   3.953                       -236.6468
                    3.96                      -236.75498
                   3.967                      -236.86523
                   3.974                      -236.97618
                   3.981                      -237.08664
                   3.988                      -237.19566
                   3.995                      -237.30259
                   4.002                      -237.40715
                   4.009                      -237.50946
                   4.016                      -237.61005
                   4.023                       -237.7099
                    4.03                       -237.8104
                   4.037                      -237.91335
                   4.044                      -238.02087
                   4.051                      -238.13544
                   4.058                      -238.25979
                   4.065                      -238.39688
                   4.072                      -238.54988
                   4.079                       -238.7222
                   4.086                      -238.91741
                   4.093                      -239.13936
                     4.1                      -239.39218
                   4.107                      -239.68036
                   4.114                      -240.00894
                   4.121                       -240.3836
                   4.128                      -240.81096
                   4.135                      -241.29888
                   4.142                      -241.85696
                   4.149                      -242.49727
                   4.156                      -243.23539
                   4.163                      -244.09217
                    4.17                      -245.09656
                   4.177                      -246.29065
                   4.184                      -247.73938
                   4.191                      -249.55094
                   4.198                        -251.927
                   4.205                      -255.31584
                   4.212                      -261.11225
                   4.219                      -279.88101
                   4.226                      -261.42885
                   4.233                      -255.30429
                    4.24                       -251.7284
                   4.247                      -249.20119
                   4.254                      -247.25281
                   4.261                      -245.67434
                   4.268                      -244.35446
                   4.275                      -243.22669
                   4.282                      -242.24808
                   4.289                       -241.3892
                   4.296                      -240.62893
                   4.303                      -239.95156
                    4.31                      -239.34498
                   4.317                      -238.79962
                   4.324                      -238.30773
                   4.331                      -237.86285
                   4.338                      -237.45951
                   4.345                      -237.09297
                   4.352                      -236.75903
                   4.359                       -236.4539
                   4.366                      -236.17415
                   4.373                      -235.91656
                    4.38                      -235.67815
                   4.387                       -235.4561
                   4.394                      -235.24777
                   4.401                      -235.05066
                   4.408                      -234.86244
                   4.415                      -234.68096
                   4.422                      -234.50428
                   4.429                      -234.33068
                   4.436                      -234.15871
                   4.443                      -233.98718
                    4.45                      -233.81521
                   4.457                      -233.64221
                   4.464                      -233.46793
                   4.471                      -233.29237
                   4.478                      -233.11583
                   4.485                      -232.93887
                   4.492                      -232.76223
                   4.499                      -232.58685
                   4.506                      -232.41378
                   4.513                      -232.24417
                    4.52                      -232.07924
                   4.527                       -231.9202
                   4.534                      -231.76827
                   4.541                      -231.62465
                   4.548                      -231.49048
                   4.555                      -231.36685
                   4.562                      -231.25479
                   4.569                      -231.15526
                   4.576                      -231.06914
                   4.583                      -230.99726
                    4.59                      -230.94039
                   4.597                      -230.89923
                   4.604                      -230.87444
                   4.611                       -230.8666
                   4.618                      -230.87629
                   4.625                      -230.90402
                   4.632                      -230.95026
                   4.639                      -231.01547
                   4.646                      -231.10005
                   4.653                      -231.20439
                    4.66                      -231.32879
                   4.667                      -231.47356
                   4.674                      -231.63892
                   4.681                      -231.82501
                   4.688                      -232.03189
                   4.695                      -232.25948
                   4.702                      -232.50754
                   4.709                      -232.77562
                   4.716                      -233.06297
                   4.723                      -233.36849
                    4.73                      -233.69059
                   4.737                       -234.0271
                   4.744                      -234.37512
                   4.751                      -234.73083
                   4.758                      -235.08939
                   4.765                      -235.44478
                   4.772                      -235.78976
                   4.779                      -236.11598
                   4.786                      -236.41425
                   4.793                      -236.67509
                     4.8                      -236.88951
                   4.807                         -237.05
                   4.814                       -237.1515
                   4.821                       -237.1921
                   4.828                       -237.1733
                   4.835                      -237.09978
                   4.842                      -236.97862
                   4.849                      -236.81838
                   4.856                       -236.6281
                   4.863                       -236.4165
                    4.87                      -236.19143
                   4.877                      -235.95956
                   4.884                      -235.72632
                   4.891                       -235.4959
                   4.898                       -235.2714
                   4.905                      -235.05495
                   4.912                      -234.84789
                   4.919                      -234.65089
                   4.926                      -234.46409
                   4.933                       -234.2872
                    4.94                      -234.11959
                   4.947                      -233.96037
                   4.954                      -233.80847
                   4.961                      -233.66268
                   4.968                      -233.52169
                   4.975                      -233.38417
                   4.982                      -233.24882
                   4.989                      -233.11437
                   4.996                      -232.97966
                   5.003                      -232.84367
                    5.01                      -232.70554
                   5.017                      -232.56459
                   5.024                      -232.42036
                   5.031                       -232.2726
                   5.038                      -232.12127
                   5.045                      -231.96654
                   5.052                      -231.80875
                   5.059                      -231.64841
                   5.066                      -231.48617
                   5.073                      -231.32276
                    5.08                      -231.15902
                   5.087                      -230.99579
                   5.094                      -230.83396
                   5.101                       -230.6744
                   5.108                      -230.51794
                   5.115                      -230.36538
                   5.122                      -230.21747
                   5.129                      -230.07488
                   5.136                      -229.93823
                   5.143                      -229.80805
                    5.15                      -229.68481
                   5.157                      -229.56891
