        Frequency / GHz                voltage1_1_1 [1]/abs,dB
----------------------------------------------------------------------
                       2                      -235.93539
                   2.007                      -235.86314
                   2.014                       -235.8193
                   2.021                      -235.80348
                   2.028                      -235.81539
                   2.035                      -235.85485
                   2.042                      -235.92177
                   2.049                      -236.01614
                   2.056                      -236.13806
                   2.063                      -236.28768
                    2.07                      -236.46525
                   2.077                      -236.67109
                   2.084                      -236.90554
                   2.091                      -237.16901
                   2.098                       -237.4619
                   2.105                      -237.78457
                   2.112                      -238.13731
                   2.119                      -238.52019
                   2.126                      -238.93301
                   2.133                      -239.37506
                    2.14                      -239.84486
                   2.147                      -240.33987
                   2.154                      -240.85588
                   2.161                      -241.38648
                   2.168                      -241.92224
                   2.175                      -242.44992
                   2.182                      -242.95191
                   2.189                      -243.40634
                   2.196                      -243.78845
                   2.203                      -244.07375
                    2.21                       -244.2427
                   2.217                       -244.2855
                   2.224                      -244.20482
                   2.231                      -244.01503
                   2.238                      -243.73828
                   2.245                      -243.39952
                   2.252                       -243.0224
                   2.259                      -242.62685
                   2.266                      -242.22836
                   2.273                      -241.83822
                    2.28                      -241.46422
                   2.287                      -241.11145
                   2.294                      -240.78299
                   2.301                      -240.48051
                   2.308                      -240.20468
                   2.315                      -239.95546
                   2.322                      -239.73234
                   2.329                      -239.53445
                   2.336                       -239.3607
                   2.343                      -239.20978
                    2.35                      -239.08025
                   2.357                      -238.97052
                   2.364                      -238.87886
                   2.371                      -238.80341
                   2.378                      -238.74215
                   2.385                      -238.69294
                   2.392                      -238.65343
                   2.399                      -238.62117
                   2.406                      -238.59353
                   2.413                      -238.56777
                    2.42                      -238.54107
                   2.427                      -238.51059
                   2.434                      -238.47354
                   2.441                      -238.42726
                   2.448                      -238.36935
                   2.455                      -238.29777
                   2.462                      -238.21091
                   2.469                      -238.10768
                   2.476                      -237.98759
                   2.483                      -237.85073
                    2.49                      -237.69777
                   2.497                      -237.52991
                   2.504                      -237.34877
                   2.511                      -237.15632
                   2.518                      -236.95476
                   2.525                      -236.74641
