        Frequency / GHz                voltage1_1_1_1 [1]/abs,dB
----------------------------------------------------------------------
                       2                      -231.91085
                   2.007                      -231.85524
                   2.014                      -231.80948
                   2.021                      -231.77426
                   2.028                       -231.7502
                   2.035                      -231.73789
                   2.042                      -231.73788
                   2.049                      -231.75069
                   2.056                      -231.77681
                   2.063                       -231.8167
                    2.07                      -231.87082
                   2.077                      -231.93956
                   2.084                      -232.02333
                   2.091                       -232.1225
                   2.098                      -232.23743
                   2.105                      -232.36845
                   2.112                      -232.51586
                   2.119                      -232.67994
                   2.126                      -232.86093
                   2.133                      -233.05903
                    2.14                      -233.27436
                   2.147                        -233.507
                   2.154                      -233.75692
                   2.161                      -234.02396
                   2.168                      -234.30781
                   2.175                      -234.60799
                   2.182                      -234.92374
                   2.189                      -235.25401
                   2.196                      -235.59734
                   2.203                      -235.95183
                    2.21                      -236.31499
                   2.217                      -236.68371
                   2.224                      -237.05409
                   2.231                      -237.42146
                   2.238                      -237.78032
                   2.245                      -238.12446
                   2.252                      -238.44712
                   2.259                      -238.74135
                   2.266                      -239.00048
                   2.273                      -239.21873
                    2.28                      -239.39175
                   2.287                       -239.5172
                   2.294                        -239.595
                   2.301                      -239.62734
                   2.308                      -239.61839
                   2.315                       -239.5738
                   2.322                      -239.50011
                   2.329                      -239.40412
                   2.336                      -239.29243
                   2.343                      -239.17108
                    2.35                      -239.04534
                   2.357                      -238.91964
                   2.364                      -238.79754
                   2.371                       -238.6818
                   2.378                      -238.57444
                   2.385                      -238.47686
                   2.392                      -238.38987
                   2.399                      -238.31385
                   2.406                      -238.24873
                   2.413                      -238.19414
                    2.42                       -238.1494
                   2.427                      -238.11357
                   2.434                      -238.08553
                   2.441                      -238.06399
                   2.448                      -238.04754
                   2.455                      -238.03468
                   2.462                      -238.02388
                   2.469                      -238.01363
                   2.476                      -238.00248
                   2.483                      -237.98908
                    2.49                      -237.97227
                   2.497                      -237.95106
                   2.504                      -237.92474
                   2.511                      -237.89285
                   2.518                      -237.85523
                   2.525                      -237.81202
                   2.532                      -237.76362
                   2.539                       -237.7107
                   2.546                      -237.65414
                   2.553                      -237.59502
                    2.56                      -237.53455
                   2.567                      -237.47401
                   2.574                      -237.41476
                   2.581                      -237.35814
                   2.588                      -237.30549
                   2.595                      -237.25808
                   2.602                      -237.21712
